column 1	Pathways of a reaction	EC-Number	Object ID
"(2R,3S)-3-isopropylmalate  <-->  (2S)-2-isopropylmalate"	L-leucine biosynthesis	EC-4.2.1.33	RXN-13163
violaxanthin + 2 L-ascorbate  ->  zeaxanthin + 2 dehydroascorbate + 2 H2O	"violaxanthin, antheraxanthin and zeaxanthin interconversion"	EC-1.23.5.1	RXN-13185
ent-kaur-16-en-19-oate + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  gibberellin A12 + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+	gibberellin A<sub>12</sub> biosynthesis	EC-1.14.14.107	RXN-13189
ent-kaurene + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  ent-kaur-16-en-19-oate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+	gibberellin A<sub>12</sub> biosynthesis // steviol biosynthesis	EC-1.14.14.86	RXN-13190
"magnesium-protoporphyrin IX 13-monomethyl ester + 3 NADPH + 2 H+ + 3 dioxygen  ->  3,8-divinyl protochlorophyllide a + 3 NADP+ + 5 H2O"	"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)"	EC-1.14.13.81	RXN-13191
zeaxanthin + 4 reduced ferredoxin [iron-sulfur] cluster + 4 H+ + 2 dioxygen  ->  violaxanthin + 4 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	"violaxanthin, antheraxanthin and zeaxanthin interconversion"	EC-1.14.15.21	RXN-13193
alpha-linolenate + dioxygen  ->  13(S)-HpOTre	traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis // jasmonic acid biosynthesis	EC-1.13.11.12	RXN-1321
stearate + acyl-carrier protein + ATP  ->  stearoyl-[acp] + AMP + diphosphate	heptadecane biosynthesis	EC-6.2.1.20	RXN-13268
2 geranylgeranyl diphosphate  ->  15-cis-phytoene + 2 diphosphate	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	EC-2.5.1.32	RXN-13323
late4-aminobutyrate--glyoxy transaminase		EC-2.6.1.96	RXN-13328
chlorophyllide a + 2 NADPH + 2 dioxygen + 2 H+  ->  chlorophyllide b + 2 NADP+ + 3 H2O	chlorophyll cycle	EC-1.14.13.122	RXN-13398
(-)-secoisolariciresinol + 2 NAD+  ->  (-)-matairesinol + 2 NADH + 2 H+	matairesinol biosynthesis	EC-1.1.1.331	RXN-13433
"(2Z)-2-hydroxypenta-2,4-dienoate  <-->  (3E)-2-oxopent-3-enoate"		EC-5.3.2.6	RXN-13459
L-ornithine + carbamoyl phosphate  <-  L-citrulline + phosphate + H+	ornithine-citrulline shuttle	EC-2.1.3.3	RXN-13482
11-oxo-beta-amyrin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  30-hydroxy-11-oxo-beta-amyrin + oxidized [NADPH-hemoprotein reductase] + H2O			RXN-13492
30-hydroxy-11-oxo-beta-amyrin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  glycyrrhetaldehyde + oxidized [NADPH-hemoprotein reductase] + 2 H2O			RXN-13493
glycyrrhetaldehyde + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  glycyrrhetinate + oxidized [NADPH-hemoprotein reductase] + H2O + H+			RXN-13494
vectoral H<SUP>+</SUP> export			RXN-13519
vectoral H<SUP>+</SUP> export			RXN-13519
beta-carotene  ->  9-cis-beta-carotene	5-deoxystrigol biosynthesis	EC-5.2.1.14	RXN-13641
9-cis-beta-carotene + dioxygen  ->  9-cis-10'-apo-beta-carotenal + beta-ionone	5-deoxystrigol biosynthesis	EC-1.13.11.68	RXN-13642
carlactone + an oxidized electron carrier + dioxygen  ->  carlactone carboxylate + a reduced two electron carrier + H+	5-deoxystrigol biosynthesis		RXN-13644
carlactone carboxylate + an oxidized electron carrier + H+  ->  (+)-5-deoxystrigol + a reduced two electron carrier	5-deoxystrigol biosynthesis		RXN-13645
"L-gulono-1,4-lactone + dioxygen  ->  hydrogen peroxide + L-ascorbate + H+"		EC-1.1.3.8	RXN-13689
L-aspartate + 2-oxoglutarate  <-->  oxaloacetate + L-glutamate	"C4 photosynthetic carbon assimilation cycle, NAD-ME type // C4 photosynthetic carbon assimilation cycle, PEPCK type"	EC-2.6.1.1	RXN-13697
L-glutamate + pyruvate  <-->  2-oxoglutarate + L-alanine	"C4 photosynthetic carbon assimilation cycle, NAD-ME type // C4 photosynthetic carbon assimilation cycle, PEPCK type"	EC-2.6.1.2	RXN-13698
"(2E,6E)-farnesol + NAD+  =  (2E,6E)-farnesal + NADH + H+"		EC-1.1.1.354	RXN-13748
pheophorbide a + H2O + H+  =  C-132-carboxypyropheophorbide a + methanol			RXN-13938
C-132-carboxypyropheophorbide a  ->  CO2 + pyropheophorbide a			RXN-13939
"(S)-2,3,4,5-tetrahydrodipicolinate + NAD(P)+ + H2O  <-  (2S,4S)-4-hydroxy-2,3,4,5-tetrahydrodipicolinate + NAD(P)H + H+"	L-lysine biosynthesis VI	EC-1.17.1.8	RXN-14014
UMP + H2O  ->  uridine + phosphate	UTP and CTP dephosphorylation I	EC-3.1.3.5	RXN-14025
CMP + H2O  ->  cytidine + phosphate	UTP and CTP dephosphorylation I	EC-3.1.3.91 // EC-3.1.3.5	RXN-14026
pyridoxamine 5'-phosphate + H2O  ->  pyridoxamine + phosphate	pyridoxal 5'-phosphate salvage II (plants)	EC-3.1.3.74	RXN-14046
L-glutamate 5-semialdehyde + NAD+ + H2O  ->  L-glutamate + NADH + 2 H+	L-arginine degradation I (arginase pathway) // L-proline degradation I	EC-1.2.1.88	RXN-14116
pyridoxine 5'-phosphate + H2O  ->  pyridoxine + phosphate	pyridoxal 5'-phosphate salvage II (plants)	EC-3.1.3.74	RXN-14181
UDP-alpha-D-glucose + esculetin  ->  esculin + UDP + H+		EC-2.4.1	RXN-14182
dCDP + H2O  =  dCMP + phosphate + H+		EC-3.6.1.6	RXN-14187
carbamate + ATP  <-->  carbamoyl phosphate + ADP	L-citrulline degradation		RXN-14196
chrysin 6-hydroxylase	baicalein metabolism	EC-1.14.13	RXN-14237
ATP + UTP + ammonia  ->  ADP + CTP + phosphate + H+			RXN-14325
eridictyol 4-reductase	luteolinidin 5-<i>O</i>-glucoside biosynthesis	EC-1.1.1.234	RXN-14422
luteoforol oxygenase	luteolinidin 5-<i>O</i>-glucoside biosynthesis	EC-1.14.20	RXN-14423
UDP-alpha-D-glucose + luteolinidin  ->  luteolinidin 5-O-beta-D-glucoside + UDP + 2 H+	luteolinidin 5-<i>O</i>-glucoside biosynthesis	EC-2.4.1	RXN-14424
apiforol + NADP+  <-  (2S)-naringenin + NADPH + H+	apigeninidin 5-<i>O</i>-glucoside biosynthesis	EC-1.1.1.234	RXN-14425
apiforol oxygenase	apigeninidin 5-<i>O</i>-glucoside biosynthesis	EC-1.14.20	RXN-14426
UDP-alpha-D-glucose + apigeninidin  ->  apigeninidin 5-O-beta-D-glucoside + UDP + H+	apigeninidin 5-<i>O</i>-glucoside biosynthesis	EC-2.4.1	RXN-14427
keto-D-fructose  ->  beta-D-fructofuranose			RXN-14515
apigenin + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + genkwanin		EC-2.1.1	RXN-14661
alpha-D-galactose 6-phosphate  <-->  beta-D-galactose 6-phosphate		EC-5.1.3	RXN-14816
aldehydo-D-ribose  <-->  D-ribofuranose			RXN-14882
L-proline[in] + an electron-transfer quinone[membrane]  ->  (S)-1-pyrroline-5-carboxylate[in] + an electron-transfer quinol[membrane] + H+[in]	L-citrulline biosynthesis // L-proline degradation I	EC-1.5.5.2	RXN-14903
"2-methyl-6-geranylgeranyl-1,4-benzoquinol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + 2,3-dimethyl-6-geranylgeranyl-1,4-benzoquinol + H+"	vitamin E biosynthesis (tocotrienols)	EC-2.1.1.295	RXN-14917
gamma-tocotrienol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + alpha-tocotrienol + H+	vitamin E biosynthesis (tocotrienols)	EC-2.1.1.95	RXN-14918
delta-tocotrienol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + beta-tocotrienol + H+	vitamin E biosynthesis (tocotrienols)	EC-2.1.1.95	RXN-14919
"delta-tocotrienol  <-  2-methyl-6-geranylgeranyl-1,4-benzoquinol"	vitamin E biosynthesis (tocotrienols)	EC-5.5.1.24	RXN-14921
"gamma-tocotrienol  <-  2,3-dimethyl-6-geranylgeranyl-1,4-benzoquinol"	vitamin E biosynthesis (tocotrienols)	EC-5.5.1.24	RXN-14922
(R)-2-hydroxyglutarate + an oxidized electron carrier  ->  2-oxoglutarate + a reduced two electron carrier		EC-1.1.99.39	RXN-14932
succinate[mitochondrial lumen] + an electron-transfer quinone[mitochondrial inner membrane]  <-->  fumarate[mitochondrial lumen] + an electron-transfer quinol[mitochondrial inner membrane]	TCA cycle II (plants and fungi)	EC-1.3.5.1	RXN-14971
"5-phospho-alpha-D-ribose 1,2-cyclic phosphate + H2O  ->  D-ribofuranose 2,5-bisphosphate + H+"		EC-3.1.4.57	RXN-14995
oleoyl-CoA + 1-oleoyl-sn-glycerol 3-phosphate  =  bisoleoyl phosphatidate + coenzyme A		EC-2.3.1.51	RXN-15043
oleoyl-CoA + sn-glycerol 3-phosphate  ->  1-oleoyl-sn-glycerol 3-phosphate + coenzyme A		EC-2.3.1.15	RXN-15045
(Z)-2-aminobutenoate  ->  2-iminobutanoate	L-isoleucine biosynthesis I (from threonine) // L-methionine degradation II		RXN-15121
L-threonine  ->  (Z)-2-aminobutenoate + H2O	L-isoleucine biosynthesis I (from threonine)		RXN-15122
2-iminobutanoate + H2O  ->  2-oxobutanoate + ammonium	L-isoleucine biosynthesis I (from threonine) // L-methionine degradation II	EC-3.5.99.10	RXN-15123
2-aminoprop-2-enoate  ->  2-iminopropanoate	L-methionine biosynthesis II // D-serine degradation		RXN-15124
L-serine  =  2-aminoprop-2-enoate + H2O			RXN-15125
2-iminopropanoate + H2O  ->  pyruvate + ammonium	L-methionine biosynthesis II // D-serine degradation	EC-3.5.99.10	RXN-15127
L-cystathionine  ->  2-aminoprop-2-enoate + L-homocysteine	L-methionine biosynthesis II		RXN-15131
L-homocysteine  ->  hydrogen sulfide + (Z)-2-aminobutenoate			RXN-15148
S-sulfanylglutathione + glutathione  <-->  hydrogen sulfide + glutathione disulfide			RXN-15348
"cyanidin 3,7-diglucoside acyltransferase"	"cyanidin 3,7-diglucoside polyacylation biosynthesis"	EC-2.3.1	RXN-15372
ent-sandaracopimaradiene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-sandaracopimaradien-3beta-ol + oxidized [NADPH-hemoprotein reductase] + H2O	oryzalexin D and E biosynthesis	EC-1.14.14.70	RXN-15379
ent-sandaracopimaradien-3beta-ol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  oryzalexin D + oxidized [NADPH-hemoprotein reductase] + H2O	oryzalexin D and E biosynthesis	EC-1.14.14.123	RXN-15382
beta-amyrin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  maniladiol + oxidized [NADPH-hemoprotein reductase] + H2O		EC-1.14.14.63	RXN-15385
16&beta;-hydroxy-&beta;-amyrin epoxidase		EC-1.14.14	RXN-15386
ent-sandaracopimaradiene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  7beta-hydroxy-ent-sandaracopimaradiene + oxidized [NADPH-hemoprotein reductase] + H2O	oryzalexin D and E biosynthesis	EC-1.14.14	RXN-15394
"ent-11beta-hydroxy-ent-cassa-12,15-diene  ->  ent-3beta-hydroxy-cassa-12,15-diene-11-one"	"phytocassanes biosynthesis, shared reactions"		RXN-15432
"ent-3beta-hydroxy-cassa-12,15-diene-11-one + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-cassa-12,15-diene-2beta,3beta-diol-11-one + oxidized [NADPH-hemoprotein reductase] + H2O"	"phytocassanes biosynthesis, shared reactions"	EC-1.14.14	RXN-15433
9beta-stemod-13(17)-ene + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  9beta-stemod-13(17)-en-19-oate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O	diterpene phytoalexins precursors biosynthesis	EC-1.14.14.111	RXN-15437
<i>syn</i>-stemod-13(17)-ene monooxygnease	diterpene phytoalexins precursors biosynthesis		RXN-15438
<i>syn</i>-stemod-13(17)-19-ol monooxygenase	diterpene phytoalexins precursors biosynthesis		RXN-15439
<i>syn</i>-stemod-13(17)-en-19-al monooxygenase	diterpene phytoalexins precursors biosynthesis		RXN-15440
7&beta;-hydroxy-sandaracopimradiene hydroxylase	oryzalexin D and E biosynthesis	EC-1.14.14	RXN-15441
"germacra-1(10),4,11(13)-trien-12-oate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  6alpha-hydroxy-germacra-1(10),4,11(13)-trien-12-oate + oxidized [NADPH-hemoprotein reductase] + H2O"			RXN-15458
"6alpha-hydroxy-germacra-1(10),4,11(13)-trien-12-oate + H+  ->  (+)-costunolide (12,6alpha) + H2O"			RXN-15459
"ent-cassa-12,15-diene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-cassa-12,15-dien-2beta-ol + oxidized [NADPH-hemoprotein reductase] + H2O"	"phytocassanes biosynthesis, shared reactions"		RXN-15462
"ent-3beta-hydroxycassa-12,15-dien-2-one + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-cassa-12,15-diene-2beta,3beta-diol-11-one + oxidized [NADPH-hemoprotein reductase] + H2O"	"phytocassanes biosynthesis, shared reactions"	EC-1.14.14	RXN-15463
oryzalexin A/C synthase	"oryzalexin A, B, and C biosynthesis"	EC-1.1.1	RXN-15464
oryzalexin A/C synthase	"oryzalexin A, B, and C biosynthesis"	EC-1.1.1	RXN-15465
oryzalexin D + NAD(P)+  ->  oryzalexin B + NAD(P)H + H+	"oryzalexin A, B, and C biosynthesis"	EC-1.1.1	RXN-15466
oryzalexin A + NAD(P)+  ->  oryzalexin C + NAD(P)H + H+	"oryzalexin A, B, and C biosynthesis"	EC-1.1.1	RXN-15467
oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane]  ->  reduced ferredoxin [iron-sulfur] cluster[out]			RXN-15468
oxidized plastocyanin[thylakoid lumen] + reduced ferredoxin [iron-sulfur] cluster  <-  hnu + reduced plastocyanin[thylakoid lumen] + oxidized ferredoxin [iron-sulfur] cluster	cyclic electron flow // photosynthesis light reactions I (plastocyanin)	EC-1.97.1.12	RXN-15479
2-phospho-D-glycerate  <-->  3-phospho-D-glycerate	glycolysis I (from glucose 6-phosphate)	EC-5.4.2.11	RXN-15513
"(+)-costunolide (12,6alpha) + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  parthenolide + oxidized [NADPH-hemoprotein reductase] + H2O"	3&beta;-hydroxysesquiterpene lactone biosynthesis	EC-1.14.14	RXN-15531
parthenolide 3-hydroxylase	3&beta;-hydroxysesquiterpene lactone biosynthesis	EC-1.14.14	RXN-15532
D-serine  ->  2-aminoprop-2-enoate + H2O	D-serine degradation		RXN-15581
Fe3+[out] + e-[membrane]  ->  Fe2+[out]			RXN-15596
monodehydroascorbate radical[in] + e-[membrane]  ->  L-ascorbate[in]			RXN-15597
Fe3+[out] + L-ascorbate[in]  ->  monodehydroascorbate radical[in] + Fe2+[out]		EC-7.2.1.3	RXN-15598
L-glutamine + 4-(methylsulfanyl)-2-oxobutanoate  <-->  2-oxoglutaramate + L-methionine	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	EC-2.6.1.117	RXN-15650
sn-glycerol 3-phosphate[in] + an electron-transfer quinone[membrane]  ->  glycerone phosphate[in] + an electron-transfer quinol[membrane]	glycerol-3-phosphate shuttle // glycerophosphodiester degradation // glycerol degradation I	EC-1.1.5.3	RXN-15745
oxidized c-type cytochrome[out] + e-[membrane]  ->  reduced c-type cytochrome[out]			RXN-15815
linoleoyl-CoA + a glycerolipid  <-  a [glycerolipid]-linoleate + coenzyme A	linoleate biosynthesis I (plants)	EC-2.3.1.23	RXN-16045
a [glycerolipid]-linoleate + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  a [glycerolipid]-alpha-linolenate + 2 ferricytochrome b5 + 2 H2O	&alpha;-linolenate biosynthesis I (plants and red algae)	EC-1.14.19.25	RXN-16046
butan-1-ol + NAD+  <-->  1-butanal + NADH + H+		EC-1.1.1	RXN-161
18-hydroxyoleoyl-CoA + sn-glycerol 3-phosphate  =  1-(18-hydroxyoleoyl)-sn-glycrol 3-phosphate + coenzyme A		EC-2.3.1.15	RXN-16117
2 ethylsulfenate  ->  diethyl thiosulfinate + H2O			RXN-16200
stearate + coenzyme A + ATP  ->  stearoyl-CoA + AMP + diphosphate	stearate biosynthesis II (bacteria and plants)	EC-6.2.1.3	RXN-16380
16-hydroxypalmitate + coenzyme A + ATP  ->  16-hydroxypalmitoyl-CoA + AMP + diphosphate	sporopollenin precursors biosynthesis // cutin biosynthesis // suberin monomers biosynthesis	EC-6.2.1.3	RXN-16389
laurate + coenzyme A + ATP  ->  lauroyl-CoA + AMP + diphosphate	palmitate biosynthesis II (type II fatty acid synthase)	EC-6.2.1.2 // EC-6.2.1.3	RXN-16393
palmitate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  16-hydroxypalmitate + oxidized [NADPH-hemoprotein reductase] + H2O	sporopollenin precursors biosynthesis // cutin biosynthesis // suberin monomers biosynthesis	EC-1.14.14.80	RXN-16398
stearate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  18-hydroxystearate + oxidized [NADPH-hemoprotein reductase] + H2O	sporopollenin precursors biosynthesis	EC-1.14.14.80	RXN-16399
oleate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  18-hydroxyoleate + oxidized [NADPH-hemoprotein reductase] + H2O	sporopollenin precursors biosynthesis // cutin biosynthesis // suberin monomers biosynthesis	EC-1.14.14.80	RXN-16400
18-hydroxystearate + coenzyme A + ATP  ->  18-hydroxystearoyl-CoA + AMP + diphosphate	sporopollenin precursors biosynthesis	EC-6.2.1.3	RXN-16401
18-hydroxyoleate + coenzyme A + ATP  ->  18-hydroxyoleoyl-CoA + AMP + diphosphate	sporopollenin precursors biosynthesis	EC-6.2.1.3	RXN-16402
"16-hydroxypalmitoyl-CoA + 2 NADPH + 2 H+  ->  1,16-hexadecane-diol + coenzyme A + 2 NADP+"	sporopollenin precursors biosynthesis	EC-1.2.1.84	RXN-16403
"18-hydroxystearoyl-CoA + 2 NADPH + 2 H+  ->  1,18-octadecane-diol + coenzyme A + 2 NADP+"	sporopollenin precursors biosynthesis	EC-1.2.1.84	RXN-16405
"2-(2,8-dihydroxytridecyl)-6-oxopyran-4-olate + NADP+  <-  2-(8-hydroxy-2-oxotridecyl)-6-oxopyran-4-olate + NADPH + H+"	sporopollenin precursors biosynthesis	EC-1.1.1	RXN-16406
7-hydroxylauroyl-CoA + 3 malonyl-CoA + 2 H+  ->  2-(8-hydroxy-2-oxotridecyl)-6-oxopyran-4-olate + 3 CO2 + 4 coenzyme A	sporopollenin precursors biosynthesis		RXN-16407
18-hydroxyoleate + NADP+  ->  18-oxo-oleate + NADPH + H+	cutin biosynthesis // suberin monomers biosynthesis	EC-1.1.1	RXN-16416
"18-oxo-oleate + NADP+ + H2O  ->  alpha,omega-9Z-octadecenedioate + NADPH + 2 H+"	cutin biosynthesis // suberin monomers biosynthesis	EC-1.2.1	RXN-16417
"alpha,omega-9Z-octadecenedioate + coenzyme A + ATP  ->  omega-carboxy-(9Z)-octadec-9-enoyl-CoA + AMP + diphosphate"	suberin monomers biosynthesis	EC-6.2.1.3	RXN-16418
S-sulfinatoglutathione + H2O  ->  sulfite + glutathione + H+			RXN-16574
aldehydo-D-arabinose 5-phosphate  <-->  D-arabinofuranose 5-phosphate	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis		RXN-16804
hydrogen carbonate + ATP  ->  carboxyphosphate + ADP			RXN-16909
"phosphorylated phosphoglucomutase + alpha-D-glucopyranose 1-phosphate  <-->  alpha-D-glucose 1,6-bisphosphate + phosphoglucomutase"			RXN-16997
"alpha-D-glucose 1,6-bisphosphate + phosphoglucomutase  <-->  D-glucopyranose 6-phosphate + phosphorylated phosphoglucomutase"			RXN-16998
demethylphylloquinone + NADPH + H+  ->  demethylphylloquinol + NADP+	phylloquinol biosynthesis	EC-1.6.5.12	RXN-17007
"1,4-dihydroxy-2-naphthoate + an oxidized electron carrier  ->  2-carboxy-1,4-naphthoquinone + a reduced two electron carrier"	superpathway of phylloquinol biosynthesis // phylloquinol biosynthesis		RXN-17066
1-oleoyl-2-palmitoyl-phosphatidylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-oleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	phospholipid desaturation	EC-1.14.19.43	RXN-1725
pheophorbide a + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  epoxypheophorbide a + 2 oxidized ferredoxin [iron-sulfur] cluster + H2O	chlorophyll <i>a</i> degradation I // chlorophyll <i>a</i> degradation II		RXN-17252
epoxypheophorbide a + H2O  ->  red chlorophyll catabolite	chlorophyll <i>a</i> degradation I // chlorophyll <i>a</i> degradation II		RXN-17253
1-oleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-linoleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	phospholipid desaturation	EC-1.14.19.23	RXN-1726
1-linoleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-alpha-linolenoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	phospholipid desaturation	EC-1.14.19.35	RXN-1727
1-18:1-2-16:0-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:1-2-16:1-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	glycolipid desaturation	EC-1.14.19.42	RXN-1728
4 coniferyl alcohol + dioxygen  ->  4 coniferyl alcohol radical + 2 H2O	matairesinol biosynthesis // sesamin biosynthesis	EC-1.10.3.2	RXN-17351
2 coniferyl alcohol + hydrogen peroxide  ->  2 coniferyl alcohol radical + 2 H2O	matairesinol biosynthesis // sesamin biosynthesis	EC-1.11.1.7	RXN-17352
2 coniferyl alcohol radical  ->  (-)-pinoresinol	matairesinol biosynthesis		RXN-17353
carbamoyl phosphate  ->  cyanate + phosphate + H+			RXN-17753
glyoxylate[in] + 2 H+[in] + 2 e-[membrane]  ->  glycolate[in]			RXN-17757
phosphoribulosylformimino-AICAR-phosphate + ammonia  ->  D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide + H2O			RXN-17900
carbonic acid  <-->  hydrogen carbonate + H+			RXN-18031
(E)-(4-hydroxyphenyl)acetaldehyde oxime  ->  (Z)-[(4-hydroxyphenyl)acetaldehyde oxime]	dhurrin biosynthesis		RXN-18144
2-dehydro-3-deoxy-D-octonate  <-->  3-deoxy-alpha-D-manno-2-octulosonate			RXN-18392
71-dihydroxychlorophyllide a  ->  chlorophyllide b + H2O	chlorophyll cycle		RXN-18400
(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-7-epi-12-oxojasmonoyl-L-isoleucine + oxidized [NADPH-hemoprotein reductase] + 2 H2O	jasmonoyl-L-isoleucine inactivation		RXN-18479
(+)-7-epi-12-oxojasmonoyl-L-isoleucine + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (+)-7-epi-12-hydroxy-12-oxojasmonoyl-L-isoleucine + oxidized [NADPH-hemoprotein reductase] + H2O + H+	jasmonoyl-L-isoleucine inactivation		RXN-18480
(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine + H2O  ->  cis-tuberonic acid + L-isoleucine	jasmonoyl-L-isoleucine inactivation	EC-3.5.1.127	RXN-18481
UDP-alpha-D-glucose + cis-tuberonic acid  ->  cis-tuberonic acid glucoside + UDP + H+	jasmonoyl-L-isoleucine inactivation	EC-2.4.1	RXN-18482
propanoyl-CoA + butan-1-ol  ->  butyl propanoate + coenzyme A	volatile esters biosynthesis (during fruit ripening)	EC-2.3.1.84	RXN-18668
propanoyl-CoA + ethanol  ->  ethyl propanoate + coenzyme A	volatile esters biosynthesis (during fruit ripening)	EC-2.3.1.84	RXN-18670
GDP-alpha-D-mannose  <-->  GDP-beta-L-galactose		EC-5.1.3.18	RXN-1882
"L-galactopyranose + NAD+  ->  L-galactono-1,4-lactone + NADH + H+"	"L-ascorbate biosynthesis I (plants, L-galactose pathway)"	EC-1.1.1.316	RXN-1884
"ent-cassa-12,15-dien-2beta-ol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-cassa-12,15-dien-2-one + oxidized [NADPH-hemoprotein reductase] + 2 H2O"	"phytocassanes biosynthesis, shared reactions"		RXN-18941
"ent-cassa-12,15-dien-2-one + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-3beta-hydroxycassa-12,15-dien-2-one + oxidized [NADPH-hemoprotein reductase] + H2O"	"phytocassanes biosynthesis, shared reactions"		RXN-18942
"ent-cassa-12,15-dien-2beta-ol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-cassa-12,15-dien-2beta,3beta-diol + oxidized [NADPH-hemoprotein reductase] + H2O"	"phytocassanes biosynthesis, shared reactions"		RXN-18945
"ent-cassa-12,15-dien-2beta,3beta-diol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-3beta-hydroxycassa-12,15-dien-2-one + oxidized [NADPH-hemoprotein reductase] + 2 H2O"	"phytocassanes biosynthesis, shared reactions"		RXN-18946
gamma-L-glutamyl 5-phosphate  ->  5-oxo-L-proline + phosphate + H+			RXN-19022
carbamate + H2O + H+  <-->  ammonium + hydrogen carbonate			RXN-19659
"24-methylenecycloartanol + 6 ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  4alpha-carboxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(241)-en-3beta-ol + 6 ferricytochrome b5 + 4 H2O"	phytosterol biosynthesis (plants)	EC-1.14.18.10	RXN-19720
"(24Z)-24-ethylidenelophenol + 6 ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  (24Z)-4alpha-carboxy-stigmasta-7,24(241)-dien-3beta-ol + 6 ferricytochrome b5 + 4 H2O"	phytosterol biosynthesis (plants)	EC-1.14.18.11	RXN-19723
"24-methylidenelophenol + 6 ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  4alpha-carboxy-ergosta-7,24(241)-dien-3beta-ol + 6 ferricytochrome b5 + 4 H2O"	phytosterol biosynthesis (plants)	EC-1.14.18.11	RXN-19724
NADP+[out] + H+[out] + 2 e-[membrane]  ->  NADPH[out]			RXN-19772
benzoyl-CoA + H2O  =  benzoate + coenzyme A + H+			RXN-2005
ammonia + 2-oxoglutarate + NADPH + 2 H+  ->  L-glutamate + NADP+ + H2O			RXN-20084
chalinasterol + NADPH + H+  ->  campesterol + NADP+	phytosterol biosynthesis (plants)	EC-1.3.1	RXN-20131
isofucosterol + NADPH + H+  ->  sitosterol + NADP+	phytosterol biosynthesis (plants)	EC-1.3.1	RXN-20132
